BIOCHEMICAL	SUPER.PATHWAY	SUB.PATHWAY	6017410	6017411	6024740	3025473	6023630	3024484	3037243	3036559	6043230	6001530	6024430	3025034	3037377	6046230	6015670	3024444	3024498	3030374	3035669	3036625	3037367	6040100	3025497	6023160	3024315	3025327	3037491	6024070	6003240	6023980	3035697	3037425	3037345	3036645	6014600	6015780	3037437	3035749	6024260	6023510	6023670	6032640	6009130	3024458	6000900	3025353	6036210	6002510	6032380	6028110	6003410	6000820	6024600	6023070	6001020	6028220	3035505	6022030	6023430	3025221	6005880	6012990	6012460	6004300	6002830	3024329	6009190	6001790	6036080	6032030	6003310	6031490	6015760	6023320	6012180	6000440	6021480	6020820	6009080	6018750	6005280
(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	Fatty Acid, Branched	504,169	687,335	535,152	367,987	286,659	471,457	255,226	278,606	282,494	237,930	253,710	234,975	201,578		319,771	454,789	295,443	271,479	245,231	440,544	679,280	261,128	215,593	285,114	242,685	300,944	420,724	349,580		319,365	419,726	313,709	278,129	351,369	531,253	273,138	324,057	352,911	244,912	208,261	194,242	365,512	212,254	633,967	228,285	446,833	366,194	376,612	298,550	471,854	242,641	298,221	475,715	218,954	505,830	318,727	444,880	290,915	293,756	299,645	343,765	333,708	390,657	286,671	273,628	289,559	355,230	495,348	259,165	486,214	264,492	257,831	389,353	302,754	275,346	687,446	189,180	579,802	180,255	368,753	295,053
(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid	298,868	359,093	309,351	177,970			237,062	290,969	200,528			473,230	316,475	276,544	186,329	204,116	240,102	254,115	328,267				217,617	141,529	193,664	152,008	400,688		117,210		186,304	438,422		348,036	338,971	372,112		428,513		218,123	112,425	419,932	267,906	352,186	187,803	217,662	269,636	196,853	199,100	110,362	127,787		279,091	129,969	209,580			332,225		195,600	164,017				162,616		325,378		473,434	250,685			170,956		147,121		349,987	172,876	204,059		157,290
(2,4 or 2,5)-dimethylphenol sulfate	Xenobiotics	Food Component/Plant	60,039	100,809		31,528		30,314		246,954		59,509		34,376	37,265	138,254			16,598		85,972													46,309	60,785				22,428													38,999							23,380																								36,078
(2-butoxyethoxy)acetic acid	Xenobiotics	Chemical	146,279	222,285		288,352	166,403	204,494	131,585	320,162	215,642		73,309	200,183		188,125		247,066	99,266		111,855	276,895	117,942	160,499	283,227	160,827	242,234	99,652	235,290	136,976	146,660	259,690		93,265		232,355		193,467	145,682	208,097	185,635			216,553		70,772	134,711	194,591	107,963		162,505	273,112	245,604	146,174		218,291	184,042	121,496	183,978	197,926	46,195		276,845		133,388	248,741	96,629	168,469	192,493	219,300	83,109		431,293	243,319	226,386	138,169	182,241		84,480	210,475	172,344		185,422
(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	227,343	2,383,916	341,263	361,194	179,732	578,831	556,004	372,425	228,627	177,202	208,641	232,294	287,993	137,190	248,184	511,786	415,323	237,042	351,807	313,916	323,125	256,830	310,623	197,336	647,469	156,815	318,368	284,583	376,790	413,671	240,171	332,013	102,494	378,141	38,218	365,362	221,983	369,933	594,052	355,483	170,509	445,891	351,731	256,478	315,560	492,211	290,146	362,874	222,568	394,253	151,532	261,907	511,907	323,719	445,266	420,270	422,537	193,650	92,699	195,697	288,289	165,038	146,877	375,465		239,718	347,270	342,203	126,719		115,615		263,636	291,571	161,871	367,744	608,712	296,787	164,489	280,221	
(R)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	292,805	871,662	291,195	450,522	899,516			504,188	1,645,193	1,034,711			608,962		755,020			553,035	456,185	776,933	667,535			949,848	1,320,952				1,029,017	1,228,713	391,382				814,975				1,153,557	2,142,701			1,721,074	486,070	1,395,808			1,965,232		794,042				503,870	3,118,094	526,526		484,144	1,008,977	416,347	1,190,079				168,548	365,433	1,182,934				459,946		1,120,055		814,915	1,368,311			715,630	900,934	184,361
(S)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	439,746	712,647	612,897	721,345	916,351	891,575	820,457	669,171	1,304,839	1,402,317	803,069	777,969	1,631,764	885,924	825,142	750,219	1,237,943	719,116	604,340	750,479	937,759	837,730	770,705	929,725	1,499,857	769,524	856,806	1,142,822	776,967	1,034,601	769,042	1,047,270	554,994	879,277	896,911	901,267	651,637	658,936	1,199,011	1,887,894	1,012,540	957,842	1,888,788	992,409	1,197,081	739,791	834,275	1,574,014	515,159	1,063,247	659,220	707,679	853,322	790,231	2,189,910	1,502,657	557,569	1,488,396	773,914	711,877	1,254,707	1,009,663	693,701	790,459	560,994	690,861	925,861	1,007,438	429,057	660,282	716,817	947,604	1,594,272	999,666	779,187	1,101,534	1,184,618	1,111,072	1,045,000	887,378	999,433
1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysoplasmalogen	90,134	136,756	421,183	201,901	253,574	340,230	144,261	149,967	92,644	205,673	223,822	137,046	133,037	57,395	251,722	304,918	202,987	149,428	249,195	107,298	132,456	154,471	30,505	290,762	161,370	165,876	85,517	158,464	180,524	325,194	223,286	477,317	222,051	107,443		241,455	222,162	146,442	295,027	252,400	196,842	765,077	33,926	249,913	490,903	173,660	239,021	236,735	221,099	167,371	345,016	207,072	145,823	353,821	1,075,991	188,437	124,714		307,187	134,261	95,983	166,581	202,101	250,081	261,157	263,856		376,397	135,186	201,839	227,640	122,012	311,968	279,526	132,772	425,345	283,521	178,082		273,279	
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Lipid	Plasmalogen			291,114	272,919	595,144	582,800	139,723	351,294	157,199	708,323	272,711	185,649	156,607	117,910	458,474	199,377	250,098			168,919	181,564	233,852		949,279	269,747	262,503	160,874	234,910	483,512	1,225,522	224,275	513,666	219,869	216,848		597,465	406,858	186,612	355,973	741,562	387,775	371,369		345,755	1,825,772		696,379	336,623	317,392	269,192	733,021	333,836	183,133	464,647	1,260,696				421,449			280,272	254,717	237,375	380,245	273,881		1,013,491		220,022	536,709		845,225	523,715	199,628	614,423	635,403	281,568		266,941	
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	34,287		164,908			103,991	33,168		51,674		54,372			43,310	69,699	68,150	59,771	72,843		37,722	16,211	74,080					32,330	101,160			33,903		65,932		42,467	44,551	82,152	38,114	113,969	60,499		68,238	28,137	135,868	74,626	60,618	81,513	112,819	71,307	57,160	43,427	49,884	38,453	43,364	94,807	61,634	86,716	89,942	60,226			86,212	87,963	127,084	109,680	50,678	58,479	33,574	72,942	93,171	69,591		78,582	35,761		71,526	50,723	86,292		106,255	
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	496,146	418,473	1,142,883	885,792	438,025	1,319,287	876,450	798,712	528,562	913,755	871,959	520,054	679,345	384,813	1,026,165	1,022,024	963,836	851,109	913,324	724,095	969,415	651,206	367,283	1,263,607	396,119	721,573	498,516	605,970	788,625	1,138,201	787,145	1,656,543	909,612	492,691	108,724	903,063	1,058,547	491,643	658,858	981,993	810,856	2,647,405	241,547	878,210	1,658,838	701,255	1,079,000	1,177,932	700,316	833,395	1,361,391	821,637	606,448	1,915,008	2,984,786	855,771	486,141	228,598	1,254,209	547,910	392,274	914,108	806,035	920,457	1,090,388	1,037,900	250,898	1,363,317	516,433	805,664	769,294	429,765	1,359,141	1,431,475	439,341	1,681,881	1,052,234	684,671	186,256	958,572	502,796
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Lipid	Plasmalogen			370,366	460,882	1,090,516	653,680	198,654	499,223	205,652	1,280,097	430,070	207,066	141,292	153,603	868,775	293,226	435,270		166,184	152,369	320,320	318,598		1,525,828	349,972	320,254	251,376	305,411	848,000	2,176,029	324,404	649,405	364,270	233,398		919,965	506,134	233,426	519,002	1,125,325	642,108	489,574		372,515	2,540,055		760,743	436,678	429,063	306,833	1,140,895	456,005	315,945	737,553	1,456,983	122,800			765,115	188,675		402,069	401,547	308,519	466,870	378,068		1,570,949	154,799	425,570	711,110	190,491	1,039,720	980,719	261,397	956,510	876,598	328,262		512,290	167,691
1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	324,896	189,526	1,668,774	798,760	886,466	2,740,764	792,816	981,933	632,501	862,728	892,019	604,752	510,254	459,997	1,248,345	1,309,140	764,906	950,565	923,776	653,187	455,102	563,536	348,423	1,466,787	797,118	621,164	593,637	985,919	879,073	1,120,354	902,528	1,428,903	1,042,578	557,613	163,391	1,004,611	897,937	647,121	1,303,131	1,051,674	908,823	2,300,174	130,467	1,200,194	1,902,944	828,038	1,101,180	1,094,162	942,203	928,717	1,053,740	909,180	694,219	1,593,868	3,477,001	585,518	430,399	144,018	1,505,922	615,621	545,127	767,793	966,684	1,022,024	1,205,415	1,071,930	154,110	2,090,383	507,755	1,411,856	1,150,039	465,310	1,153,354	1,388,276	489,153	2,017,426	943,338	1,146,356	192,969	1,501,879	547,147
1,2-dilinoleoyl-GPC (18:2/18:2)	Lipid	Phosphatidylcholine (PC)	5,172,509		17,819,236	9,235,800	5,687,369	9,987,814	6,304,009	6,459,276	7,917,914	8,999,961	12,819,429	7,243,551	8,562,789	4,389,779	27,197,392	7,761,662	11,964,656	8,941,047	9,691,147	2,200,661	6,089,226	12,314,365	4,429,088	6,591,859	12,047,230	7,471,060	11,230,941	11,193,024	12,093,094	16,935,986	4,276,438	10,799,120	9,024,457	7,650,434	1,349,608	8,326,999	13,281,177	13,533,868	14,486,824	25,379,992	13,935,416	7,643,191	9,332,571	10,523,433	21,751,032	7,478,659	14,571,908	11,561,243	10,950,510	2,933,730	10,266,541	9,845,018	16,839,644	21,126,608	5,033,426	6,880,784	5,044,965	18,048,760	19,883,672	7,590,165	8,164,799	14,096,355	17,856,284	10,852,085	30,455,054	8,471,779	20,505,090	23,647,574	11,868,632	9,859,909	20,036,776	5,589,125	6,870,669	30,358,828	6,407,313	6,834,703	16,515,236	1,979,226	15,136,035	13,189,870	8,648,573
1,2-dilinoleoyl-GPE (18:2/18:2)*	Lipid	Phosphatidylethanolamine (PE)				689,890		547,434	327,310	594,945		1,286,505	536,186				1,496,511	1,036,485	857,923		460,393		397,770	642,455		451,830		662,416	461,093	475,789		2,407,179		753,333	702,242	476,132		1,658,465	342,985	702,613	602,924	1,194,413	1,627,776	1,261,861		281,929	1,784,003	340,846	866,764		674,904		1,082,625	1,157,224	278,463	1,623,961						429,476		360,898	792,314	764,084	597,040	435,333		2,612,756		454,495	594,945		1,082,727	2,292,965			998,777			1,377,390	
1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phosphatidylcholine (PC)	133,659,672	149,186,304	81,257,360	123,344,728	64,317,048	95,297,112	86,887,600	93,572,288	61,480,100	82,599,672	78,914,520	64,505,616	122,039,560	74,459,184	71,454,736	83,690,464	100,311,392	105,269,536	99,492,584	40,759,616	95,113,000	97,545,256	94,167,256	54,953,316	120,734,472	79,709,184	86,611,584	94,215,480	104,624,400	75,652,696	65,791,376	87,937,504	72,803,224	95,727,616	28,189,322	76,272,640	90,073,856	85,801,056	108,861,512	150,350,640	92,346,800	63,672,096	71,746,512	95,198,144	72,594,432	97,813,032	93,279,600	80,538,288	83,674,288	49,109,524	79,299,408	81,076,136	71,098,576	111,580,024	60,868,344	101,337,056	76,516,248	82,146,688	111,542,240	119,031,344	67,430,872	86,119,704	77,458,752	74,297,848	116,228,320	103,805,456	116,710,112	89,953,128	100,455,880	77,464,256	71,702,840	65,352,724	76,878,288	80,294,264	87,634,232	38,262,288	103,247,456	70,018,208	101,304,424	83,704,672	65,813,860
1,2-dipalmitoyl-GPE (16:0/16:0)*	Lipid	Phosphatidylethanolamine (PE)				746,424	259,960	647,604	292,898	546,057		1,145,019	506,492		314,858	145,617	585,883	639,733	826,116		375,640		416,363	544,225	185,992	327,932		566,866	339,990	460,229	784,427	1,011,381		882,630	544,949	232,716		943,904	1,095,406		482,246	944,624	1,012,979	996,274		661,737	650,451	801,273	610,857		550,331		419,952	488,155	442,758	1,236,858		369,091			982,619	723,259		315,398	545,858	668,320	374,136	688,034		1,106,752		397,126			663,966	820,246			1,035,265	227,325		807,130	
1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	7,690,474	2,455,421	12,893,548	38,211,184	30,037,902	31,546,826	47,237,404	20,570,904	22,369,872	38,343,288	34,964,388	15,960,639	16,851,998	13,917,496	23,506,264	19,416,580	39,582,660	26,453,686	39,939,604	30,068,468	22,496,544	11,241,166	27,285,226	7,433,820	26,062,954	14,040,349	32,102,706	24,133,864	18,606,072	24,124,060	22,672,168	24,050,864	17,212,118	13,490,846	16,974,282	13,446,966	23,958,350	19,309,062	26,836,518	11,134,000	16,309,791	11,765,938	6,472,054	28,813,622	19,557,320	36,909,956	45,005,200	19,261,172	9,848,588	20,777,108	14,920,832	14,503,586	27,901,132	26,292,062	17,331,128	19,961,384	26,568,586	45,669,836	23,140,432	37,534,676	12,123,256	39,400,608	22,216,844	32,789,550	17,965,232	32,429,620	43,874,900	39,565,752	31,223,640	22,644,318	16,210,043	17,158,518	17,842,854	18,193,798	21,544,008	41,248,224	31,491,754	37,213,876	22,057,330	13,524,212	26,026,168
