BIOCHEMICAL	SUPER.PATHWAY	SUB.PATHWAY	6017410	6024740	6024740.1	3025473	6023630	3024484	3037243	3036559	6043230	6001530	6024430	3025034	3037377	6046230	6015670	3024444	3024498	3030374	3035669	3036625	3037367	6040100	3025497	6023160	3024315	3025327	3037491	6024070	6003240	6023980	3035697	3037425	3037345	3036645	6014600	6015780	3037437	3035749	6024260	6023510	6023670	6032640	6009130	3024458	6000900	3025353	6036210	6002510	6032380	6028110	6003410	6000820	6024600	6023070	6001020	6028220	3035505	6022030	6023430	3025221	6005880	6012990	6012460	6004300	6002830	3024329	6009190	6001790	6036080	6032030	6003310	6031490	6015760	6023320	6012180	6000440	6021480	6020820	6009080	6018750	6005280
(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	Fatty Acid, Branched	1,837,172	10,241,998	10,241,998	2,943,851	7,033,693	6,879,707	3,526,069	4,264,571	3,417,085	5,588,184	3,812,705	2,040,782	2,534,572	10,313,532	4,838,229	3,392,753	4,457,101	2,407,099	3,195,234	3,549,160	3,655,127	4,250,127	2,383,151	5,855,794	2,629,697	5,493,970	2,174,267	7,436,267	6,386,941	8,195,515	2,463,611	1,744,533	3,971,405	5,575,982	8,898,995	7,256,232	2,547,201	3,294,541	8,932,474	3,896,330	6,865,830	4,840,546	3,448,982	8,052,842	12,062,566	5,741,970	4,387,340	7,571,932	3,197,788	4,213,059	4,203,822	8,261,503	11,212,483	4,070,685	5,807,798	10,365,115	9,458,646	5,566,275	7,399,505	2,373,955	2,098,141	11,016,177	6,018,122	10,314,960	4,901,357	2,327,595	3,521,906	9,211,063	3,307,105	11,157,207	8,985,491	11,061,067	9,802,206	6,712,337	3,165,775	5,291,456	3,703,511	13,564,201	3,861,149	3,778,319	7,180,379
(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	Fatty Acid, Branched	309,741	1,630,060	1,630,060	429,185	1,113,430	918,312	474,025	550,051	398,114	717,723	685,158	239,238	372,898	986,757	671,730	514,544	552,999	374,702	360,935	521,155	368,449	429,196	348,538	772,349	386,991	1,001,979	237,538	879,326	661,642	1,048,393	381,842	242,761	890,250	864,374	894,546	803,576	407,193	422,636	1,184,550	341,516	1,066,560	531,161	419,022	1,609,753	939,190	800,548	739,079	834,397	485,976	664,513	659,779	975,751	1,936,089	466,251	571,952	1,097,014	1,446,938	482,087	1,186,927	438,173	276,681	1,151,693	794,755	1,235,607	743,875	407,114	458,596	1,547,200	692,838	1,257,215	989,657	1,008,904	969,348	831,167	393,727	539,915	655,571	1,548,713	441,224	521,672	975,239
(2 or 3)-decenoate (10:1n7 or n8)	Lipid	Medium Chain Fatty Acid		630,240	630,240			455,950	225,219	191,974	243,628	422,440	257,978	182,173		219,647	491,628	212,160	659,293	570,287	260,075	462,118	289,760			206,726		753,863	306,972	280,587	151,411	441,767	342,573		188,343	801,747	271,375	1,075,797		273,206	537,048	271,149	206,157	223,930	143,174	589,866	917,121	357,288	267,565	428,321	203,532		245,027	389,451	235,143	165,773	321,600	615,531	419,593	606,541	268,273	85,984		348,061		242,072	222,638	169,593	73,776	721,655	204,741	979,550	381,557		780,391	537,174		517,482	285,814	336,225	228,440	155,410	104,866
(2,4 or 2,5)-dimethylphenol sulfate	Xenobiotics	Food Component/Plant				244,212		142,898	100,275	1,238,105		386,042		155,069	310,127	951,984	60,015	91,670	272,454	101,842	732,417	186,436	80,668		56,137	26,020	97,391	23,627	43,267				49,607	275,398	890,391	70,993		31,815	66,283	93,233					148,893	66,980		204,275				273,136				98,166		50,939	231,728	88,744		87,795	106,888			54,322	88,617	100,090	76,441		26,927		50,558	37,497	119,506	42,622				106,075	25,203		274,427
(2-butoxyethoxy)acetic acid	Xenobiotics	Chemical	236,107	225,941	225,941	208,474	260,269			201,717	179,301		102,874	162,460	125,732		106,494		204,035	158,767		125,226			137,314	292,392		296,613	293,623			143,114		141,370		230,287	276,124	124,179	228,749	131,970	121,931	270,553	118,619	127,423	191,199	111,273			407,863	284,298	213,036	105,193	248,787	238,154			108,022	124,758	102,760	123,561	158,685		201,838			91,282	211,199		158,573	205,099		195,244	208,085		175,127	136,909		98,516				263,326	
(N(1) + N(8))-acetylspermidine	Amino Acid	Polyamine Metabolism	1,975,905	1,653,643	1,653,643	1,200,377	823,186	1,081,791	3,795,963	1,596,061	1,221,891	1,073,287	991,494	1,009,320	1,356,541	937,378	853,136	2,100,989	1,997,375	1,484,334	1,779,197	1,294,189	2,261,616	1,127,941	1,720,994	501,935	2,601,359	1,072,655	1,652,719	682,288	3,586,583	1,662,822	2,045,568	2,397,771	750,864	579,226	661,302	999,594	1,246,708	1,325,330	1,876,622	1,222,234	567,663	1,119,016	2,607,500	2,523,696	1,142,090	1,243,119	1,245,701	2,934,536	642,919	2,224,846	519,336	1,256,775	1,707,485	829,548	1,715,341	2,052,766	1,644,564	1,562,852	1,189,986	972,798	701,656	802,688	842,113	1,274,467	649,337	2,333,996	1,986,883	447,104	1,461,824	447,583	864,249	369,354	939,772	1,345,322	1,208,866	1,456,872	2,038,634	1,922,533	1,350,832	2,364,701	418,981
(R)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	432,144	3,412,042	3,412,042	400,223	2,212,907	976,360	408,351		1,111,989	9,317,009				1,467,086	584,178		887,388					465,382		2,228,782		709,388		519,542	3,100,261	2,231,207	551,283			2,038,505	3,023,181	2,173,541	719,499		877,037	705,844	1,748,673	346,073	1,112,905	2,187,306	3,799,582			2,670,677	540,427	707,433	1,161,801	512,125	629,697		1,144,377	4,799,922	464,407	2,863,940	1,171,071			1,004,708		951,854				1,549,121		3,161,640		324,885	11,085,859	2,644,279		815,928	1,043,228		940,043	1,433,520	793,884
(S)-3-hydroxybutyrylcarnitine	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)	615,240	2,319,796	2,319,796	628,639	1,623,727	1,413,018	1,109,299	783,875	1,535,592	3,115,335	949,740	678,545	865,611	1,453,969	711,477	719,721	1,165,920	797,127	645,501	617,145	974,619	935,636	605,860	1,340,015	718,032	1,087,486	608,100	1,131,103	1,450,401	1,406,723	951,989	493,001	678,659	1,240,590	1,769,815	1,512,118	827,651	719,866	1,203,391	1,380,053	1,548,378	770,665	1,580,420	1,600,904	2,252,655	1,224,051	1,166,086	1,594,270	817,466	1,114,928	769,260	1,167,187	1,060,691	862,774	1,577,163	3,684,676	1,077,136	3,517,059	1,450,421	864,390	377,256	1,273,232	629,260	1,013,186	1,094,981	686,727	814,306	1,915,418	1,284,765	3,083,344	864,675	986,551	2,715,351	1,749,023	502,814	1,033,282	1,349,144	835,088	1,082,853	1,440,650	864,417
(S)-a-amino-omega-caprolactam	Xenobiotics	Food Component/Plant	494,278	785,132	785,132	880,721	243,187	601,012	853,222	932,396	607,706	607,773	508,177	682,883	718,838	658,172	532,860	649,842	769,415	749,035	734,475	549,972	700,030	504,044	849,469	542,485	572,497	529,722	825,686	563,936	461,998	728,711	520,175	793,906	669,791	632,269	371,905	413,624	499,096	498,644	809,238	1,007,383	620,521	581,153	636,295	1,041,581	660,376	820,829	1,228,227	567,842	422,095	810,777	586,555	726,643	705,834	719,977	632,691	620,757	912,474	675,371	675,317	695,305	477,924	684,387	509,771	596,579	482,494	497,071	558,403	652,739	832,835	469,657	530,534	698,199	562,908	605,506	463,450	435,846	735,764	623,432	498,976	644,145	548,821
